n,m,k,recoverability,expected_runtime
2542,415,20,0.75312662737530345,0.00074182930402458
3758,560,21,0.81308540320391343,0.00124700731597841
5556,757,22,0.84349918230937382,0.00202368150465190
8216,1023,23,0.85545745029414988,0.00332158227451146
12153,1382,24,0.88873232454221585,0.00607434583827853
17979,1868,25,0.90200783260660533,0.01011960586532950
26600,2524,26,0.91124531471959924,0.01541988326236606
39356,3411,27,0.93852978490299643,0.02551412828266620
58231,4611,28,0.94526555440251314,0.03970563221722841
86162,6232,29,0.95324753142487095,0.05923260822892189
127492,8423,30,0.96090530346861558,0.09568162299692631
188649,11384,31,0.96704066329940885,0.15393329620361329
279144,15387,32,0.97430931013091882,0.24210549503564835
413052,20797,33,0.97702342264836817,0.36630694337189196
611200,28109,34,0.97927877610515779,0.55314021408557890
904405,37992,35,0.98464929378469435,0.85023026064038276
1338268,51350,36,0.98806270818104025,1.31130053266882896
1980268,69404,37,0.98845816858764313,1.92801486745476724
2930251,93807,38,0.99213481486813038,3.08541876405477522
4335968,126790,39,0.99337657053423412,4.55892487078905173
6416046,171369,40,0.99371698027164812,6.98845104902982772
9493993,231623,41,0.99436003125732753,11.03522466123104095
14048516,313061,42,0.99549116683638661,15.84258030891418478
20787967,423134,43,0.99655341822137800,24.60734912514686812
30760516,571908,44,0.99699962274534504,36.86376059055328369
