n,m,k,recoverability
1035,2138,20,0.71266050272661896
1460,2832,21,0.76120608776196574
2061,3843,22,0.81169205357840835
2911,5979,23,0.83283860994955405
4114,8365,24,0.86781019485067146
5814,11410,25,0.88309006791879041
8219,17930,26,0.90481495564229641
11620,22830,27,0.90911412181166751
16431,33255,28,0.93458167825988259
23235,47286,29,0.93626409031271263
32858,64874,30,0.94901704439275947
46469,93533,31,0.96229690473255203
65718,134183,32,0.96758344099793003
92943,187373,33,0.97024914087768455
131448,261738,34,0.97530923564033112
185907,360621,35,0.98295164311787186
262930,529263,36,0.98509557233172373
371865,715950,37,0.98476768838441986
525936,1055743,38,0.98735634423623253
743843,1504110,39,0.98961381029713957
1052035,2087361,40,0.99039584169778538
1487921,2757040,41,0.99225366764500122
2104407,3994833,42,0.99458105152173149
2976321,5979833,43,0.99507089403675664
4209496,8145601,44,0.99613840386559060
