n,m,k,recoverability
5218,205,20,0.86878434649681424
8000,266,21,0.86026041853196344
12267,347,22,0.88019128694226356
18812,451,23,0.90618400459921267
28854,589,24,0.93228849124992419
44257,770,25,0.94114827426315517
67888,1006,26,0.94038101372344718
104137,1305,27,0.95673905943490012
159745,1701,28,0.95687175307312633
245049,2237,29,0.96380037743075986
375909,2904,30,0.97135370318391789
576653,3788,31,0.97704363605826505
884602,4945,32,0.97779532108063516
1357008,6425,33,0.98457130686913419
2081694,8401,34,0.98673818254832102
3193390,10936,35,0.98974073397489459
4898772,14245,36,0.99018394717938518
7514891,18635,37,0.99254542709651261
11528114,24146,38,0.99415593412717584
17684544,31556,39,0.99450878321449965
27128733,41294,40,0.99575790583735868
41616465,53701,41,0.99686785116514898
63841178,70121,42,0.99703093191180148
97934701,91657,43,0.99748569280319188
150235415,119425,44,0.99801388625581888
